,Transversal Start point,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9
Point Name,W1,N1,N2,N3,N4,N5,N6,N7,E1
X,-853.87,-676.25,-501.14,-330.01,-223.71,70.34,230.92,401.17,545.37
Y,309.58,343.29,376.53,409.01,429.18,484.99,515.47,547.78,575.15
Z,310,309,314,308,308,307,309,310,319
,,,,,,,,,
,Transversal End Point,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9
Point Name,W6,S1,S2,S3,S4,S5,S6,S7,E6
X,-667.87,-498.56,-328.53,-150.69,-56.94,238.54,398.9,571.08,719.62
Y,-573.5,-541.56,-509.48,-475.93,-458.24,-402.5,-372.24,-339.76,-311.73
Z,305,306,306,308,309,313,314,317,318
,,,,,,,,,
,Longitudinal Start Point,,,,,,,,
Rebar No,1,2,3,4,5,6,,,
Point Name,W1,W2,W3,W4,W5,W6,,,
X,-853.87,-818.05,-796.54,-736.33,-704.31,-667.87,,,
Y,309.58,139.52,37.37,-248.45,-400.52,-573.5,,,
Z,296,297,295,292,293,292,,,
,,,,,,,,,
,Longitudinal End Point,,,,,,,,
Rebar No,1,2,3,4,5,6,,,
Point Name,E1,E2,E3,E4,E5,E6,,,
X,545.37,579.48,597.87,654.22,687.31,719.62,,,
Y,575.15,401.53,307.98,21.15,-147.25,-311.73,,,
Z,298,298,299,302,304,305,,,
