,Transversal Start point,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9
Point Name,W1,N1,N2,N3,N4,N5,N6,N7,E1
X,-857.01,-680.79,-504.58,-328.37,-152.15,24.06,200.28,376.49,552.7
Y,338.01,370.86,403.71,436.56,469.42,502.27,535.12,567.97,600.82
Z,199,199,199,199,199,199,199,199,199
,,,,,,,,,
,Transversal End Point,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9
Point Name,W6,S1,S2,S3,S4,S5,S6,S7,E6
X,-684,-507.79,-331.57,-155.36,20.86,197.07,373.28,549.5,725.71
Y,-590,-557.15,-524.3,-491.45,-458.59,-425.74,-392.89,-360.04,-327.19
Z,199,199,199,199,199,199,199,199,199
,,,,,,,,,
,Longitudinal Start Point,,,,,,,,
Rebar No,1,2,3,4,5,6,,,
Point Name,W1,W2,W3,W4,W5,W6,,,
X,-857.01,-822.41,-787.8,-753.2,-718.6,-684,,,
Y,338.01,152.41,-33.19,-218.8,-404.4,-590,,,
Z,183,183,183,183,183,183,,,
,,,,,,,,,
,Longitudinal End Point,,,,,,,,
Rebar No,1,2,3,4,5,6,,,
Point Name,E1,E2,E3,E4,E5,E6,,,
X,552.7,587.31,621.91,656.51,691.11,725.71,,,
Y,600.82,415.22,229.62,44.01,-141.59,-327.19,,,
Z,183,183,183,183,183,183,,,
