,All point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Point Name,N1,N2,N3,N4,N5,N6,N7,S1,S2,S3,S4,S5,S6,S7,W1,W2,W3,W4,W5,W6,E1,E2,E3,E4,E5,E6,N1,N2,N3,N4,N5,N6,N7,S1,S2,S3,S4,S5,S6,S7,W1,W2,W3,W4,W5,W6,E1,E2,E3,E4,E5,E6,NW,NE,SE,SW,NW,NE,SE,SW
X,-680.79 ,-504.58 ,-328.37 ,-152.15 ,24.06 ,200.28 ,376.49 ,-507.79 ,-331.57 ,-155.36 ,20.86 ,197.07 ,373.28 ,549.50 ,-857.01 ,-822.41 ,-787.80 ,-753.20 ,-718.60 ,-684.00 ,552.70 ,587.31 ,621.91 ,656.51 ,691.11 ,725.71 ,-681.04 ,-504.33 ,-327.62 ,-150.92 ,25.79 ,202.49 ,379.20 ,-507.29 ,-330.59 ,-153.88 ,22.82 ,199.53 ,376.23 ,552.94 ,-857.74 ,-822.99 ,-788.24 ,-753.50 ,-718.75 ,-684.00 ,555.90 ,590.65 ,625.40 ,660.15 ,694.90 ,729.64 ,-721.27 ,753.32 ,936.59 ,-538.00 ,-721.27 ,753.32 ,936.59 ,-538.00 
Y,370.86 ,403.71 ,436.56 ,469.42 ,502.27 ,535.12 ,567.97 ,-557.15 ,-524.30 ,-491.45 ,-458.59 ,-425.74 ,-392.89 ,-360.04 ,338.01 ,152.41 ,-33.19 ,-218.80 ,-404.40 ,-590.00 ,600.82 ,415.22 ,229.62 ,44.01 ,-141.59 ,-327.19 ,374.89 ,407.83 ,440.77 ,473.71 ,506.66 ,539.60 ,572.54 ,-557.06 ,-524.11 ,-491.17 ,-458.23 ,-425.29 ,-392.34 ,-359.40 ,341.94 ,155.55 ,-30.83 ,-217.22 ,-403.61 ,-590.00 ,605.49 ,419.10 ,232.71 ,46.32 ,-140.07 ,-326.46 ,260.06 ,534.97 ,-448.09 ,-723.00 ,260.06 ,534.97 ,-448.09 ,-723.00 
Z,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,199.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,183.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,319.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,307.00 ,350.00 ,350.00 ,350.00 ,350.00 ,150.00 ,150.00 ,150.00 ,150.00 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transversal Start point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,,,,,,,,,,,,,,,,,,,,,
Point Name,W1,N1,N2,N3,N4,N5,N6,N7,E1,W1,W2,W3,W4,W5,W6,W1,N1,N2,N3,N4,N5,N6,N7,E1,W1,W2,W3,W4,W5,W6,NW,NE,SE,SW,NW,NE,SE,SW,,,,,,,,,,,,,,,,,,,,,,
