,All point,,,,,,,,,,,,,,,,,,,,,
Rebar No,27,28,29,31,32,33,34,35,36,38,39,40,41,42,44,45,46,47,48,50,51,52
Point Name,N1,N2,N3,N5,N6,N7,S1,S2,S3,S5,S6,S7,W1,W2,W4,W5,W6,E1,E2,E4,E5,E6
X,-681.04,-504.33,-327.62,25.79,202.49,379.2,-507.29,-330.59,-153.88,199.53,376.23,552.94,-857.74,-822.99,-753.5,-718.75,-684,555.9,590.65,660.15,694.9,729.64
Y,374.89,407.83,440.77,506.66,539.6,572.54,-557.06,-524.11,-491.17,-425.29,-392.34,-359.4,341.94,155.55,-217.22,-403.61,-590,605.49,419.1,46.32,-140.07,-326.46
Z,319,319,319,319,319,319,319,319,319,319,319,319,307,307,307,307,307,307,307,307,307,307
,,,,,,,,,,,,,,,,,,,,,,
,Transversal Start point,,,,,,,,,,,,,,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,
Point Name,W1,N1,N2,N3,N4,N5,N6,N7,E1,W1,W2,W3,W4,W5,W6,,,,,,,
X,-857.74,-681.04,-504.33,-327.62,-150.92,25.79,202.49,379.2,555.9,-857.74,-822.99,-788.24,-753.5,-718.75,-684,,,,,,,
Y,341.94,374.89,407.83,440.77,473.71,506.66,539.6,572.54,605.49,341.94,155.55,-30.83,-217.22,-403.61,-590,,,,,,,
Z,319,319,319,319,319,319,319,319,319,307,307,307,307,307,307,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Transversal End Point,,,,,,,,,,,,,,,,,,,,,
Rebar No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,
Point Name,W6,S1,S2,S3,S4,S5,S6,S7,E6,E1,E2,E3,E4,E5,E6,,,,,,,
X,-684,-507.29,-330.59,-153.88,22.82,199.53,376.23,552.94,729.64,555.9,590.65,625.4,660.15,694.9,729.64,,,,,,,
Y,-590,-557.06,-524.11,-491.17,-458.23,-425.29,-392.34,-359.4,-326.46,605.49,419.1,232.71,46.32,-140.07,-326.46,,,,,,,
Z,319,319,319,319,319,319,319,319,319,307,307,307,307,307,307,,,,,,,
